"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C37";"C_0805_peter";1;"15pF";;;
2;"TP2,TP1";"TestPoint_Pad_D1.5mm";2;"TestPoint";;;
3;"TP7";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"TestPoint";;;
4;"R52,R51,R27,R16";"R_1206_3216Metric";4;"0R1";;;
5;"C47,C46,C45,C44,C43";"C_0805_peter";5;"100n";;;
6;"R50";"R_0805_peter";1;"20R";;;
7;"C8";"C_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"47u/25";;;
8;"TP6,TP5,TP4";"TestPoint_Pad_1.5x1.5mm";3;"TestPoint";;;
9;"C42";"C_0805_peter";1;"10u";;;
10;"U3";"LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_peter";1;"TMC5160A-TA";;;
11;"C34,C9,C27,C33,C41";"C_0603_1608Metric";5;"100n";;;
12;"R18,R3";"R_0805_peter";2;"100k";;;
13;"R19";"R_0805_peter";1;"NC";;;
14;"U4";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"ASDMB-12.0MHz";;;
15;"J4";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";1;"EncCon1";;;
16;"U5,U7,U6";"SO-14_5.3x10.2mm_P1.27mm";3;"74LVC125";;;
17;"D27,D29,D28,D26,D25,D24,D23,D22,D21,D20";"SOT-23";10;"BAT54S";;;
18;"R49,R48,R40,R39,R38,R37,R36,R35,R34,R33";"R_0805_peter";10;"100R";;;
19;"R47,R46,R45,R44,R43,R42,R41,R32,R31,R6";"R_0805_peter";10;"2k2";;;
20;"R7";"R_0805_peter";1;"1R";;;
21;"R4";"R_0805_peter";1;"10K";;;
22;"R5";"R_0805_peter";1;"4K12";;;
23;"R2";"R_0805_peter";1;"36K5";;;
24;"TP3";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"spare";;;
25;"C18";"C_0805_peter";1;"100n/100V";;;
26;"C14";"C_0805_peter";1;"22nF";;;
27;"C13";"C_0805_peter";1;"220p";;;
28;"C12";"C_0805_peter";1;"100p";;;
29;"C11";"C_0805_peter";1;"1uF";;;
30;"C6";"C_0805_peter";1;"2.2uF";;;
31;"C5";"C_0805_peter";1;"47nF";;;
32;"C2";"C_0805_peter";1;"10p";;;
33;"C1";"C_0805_peter";1;"330n";;;
34;"C10";"C_0603_1608Metric";1;"10u";;;
35;"C17";"C_0603_1608Metric";1;"22n/100v";;;
36;"C19";"C_0603_1608Metric";1;"220n/100v";;;
37;"C22,C24,C26,C35,C36";"C_0603_1608Metric";5;"470n";;;
38;"C23";"C_0603_1608Metric";1;"2.2uF";;;
39;"C25";"C_0603_1608Metric";1;"2.2u";;;
40;"C32,C40";"C_0603_1608Metric";2;"2n2";;;
41;"C28,C29,C30,C31";"C_0603_1608Metric";4;"1n/100V";;;
42;"U2";"SOT-223-3_TabPin2";1;"LM2937";;;
43;"U1";"SOT-23-5_HandSoldering";1;"AP2210-3.3V";;;
44;"R30,R29";"R_0603_1608Metric";2;"100K";;;
45;"R28,R26,R17,R15";"R_0603_1608Metric";4;"47R";;;
46;"R25,R24,R23,R22,R14,R13,R11,R10";"R_0603_1608Metric";8;"12R";;;
47;"R21,R20,R12,R9";"R_0603_1608Metric";4;"0R";;;
48;"R8";"R_0603_1608Metric";1;"2R2";;;
49;"R1";"R_2512_6332Metric";1;"0R01";;;
50;"Q4";"SOT-23";1;"BSS138";;;
51;"Q3,Q2";"V-DFN5045-12";2;"DMHT6016LFJ";;;
52;"Q1";"TO-252-2";1;"SUD08P06-155L";;;
53;"L1";"L_7.3x7.3_H3.5";1;"33uH";;;
54;"JP3";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";1;"Encoder_Voltage_Sel";;;
55;"JP2";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";1;"SD_MODE";;;
56;"JP1";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";1;"SPI_MODE";;;
57;"J6";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";1;"EncCon2";;;
58;"J5,J3";"360s-1812-11001(RJ45)";2;"RJ45_Shielded";;;
59;"J2";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";1;"Stepper_conn";;;
60;"J1";"PhoenixContact_MSTB_2,5_2-GF_1x02_P5.00mm_Horizontal_ThreadedFlange_MountHole";1;"+48Vin";;;
61;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
62;"FB2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"MPZ2012S601A";;;
63;"F1";"Fuse_2512_6332Metric";1;"Fuse";;;
64;"D19,D18,D17,D16,D15,D14,D13,D12,D11";"D_0805__HandSolder_peter";9;"LED";;;
65;"D10,D9,D8,D7";"SOT-23";4;"ZHCS1006TA";;;
66;"D6";"D_SOD-123F";1;"D_Schottky";;;
67;"D5";"TSSOP-16-1EP_4.4x5mm_P0.65mm";1;"LT1766";;;
68;"D4";"D_0805_2012Metric";1;"LED";;;
69;"D3";"D_1206_3216Metric";1;"10V";;;
70;"D2";"D_1206_3216Metric";1;"7V";;;
71;"D1";"D_SOD-123";1;"1N4148W";;;
72;"C39,C21";"CP_Elec_10x14.3";2;"220uF/100V";;;
73;"C38,C20";"C_1206_3216Metric";2;"470n/100V";;;
74;"C16";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"4,7uF/100v";;;
75;"C15";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"100n/100v";;;
76;"C7";"CP_Radial_D10.0mm_P5.00mm";1;"47u/25V";;;
77;"C4";"CP_Elec_8x6.2";1;"22uF/100v";;;
78;"C3";"CP_Elec_8x6.2";1;"10uF/100v";;;
